,Unnamed: 0,timestamp,humidity,pm_2_5,temperature,month,dayofweek,weekofyear,day,hour,pm_2_5_lag_12day,PM2.5_MA3_prev_12day,PM2.5_MAX24_prev_12day,PM2.5_MIN24_prev_12day
0,676.0,2022-06-20 21:00:00,62.59159263157893,10.41489361702128,30.0161052631579,6,0,171,20,21,,,,
1,677.0,2022-06-20 22:00:00,63.23317563025211,9.352941176470589,29.6698319327731,6,0,171,20,22,,,,
2,678.0,2022-06-20 23:00:00,62.65780499999997,13.68333333333333,29.91599999999999,6,0,171,20,23,,,,
3,679.0,2022-06-21 00:00:00,64.41112479338847,21.54545454545455,29.32396694214878,6,1,172,21,0,,,,
4,680.0,2022-06-21 01:00:00,66.41311000000003,23.43333333333333,29.01574999999999,6,1,172,21,1,,,,
5,681.0,2022-06-21 02:00:00,68.92368083333331,23.86666666666667,28.47608333333333,6,1,172,21,2,,,,
6,682.0,2022-06-21 03:00:00,70.03785882352942,15.07563025210084,28.17042016806722,6,1,172,21,3,,,,
7,683.0,2022-06-21 04:00:00,71.96795041322315,30.81818181818182,27.60909090909092,6,1,172,21,4,,,,
8,684.0,2022-06-21 05:00:00,72.09512666666666,36.28333333333333,27.58658333333334,6,1,172,21,5,,,,
9,685.0,2022-06-21 06:00:00,69.83375666666667,29.84166666666667,27.97583333333333,6,1,172,21,6,,,,
10,686.0,2022-06-21 07:00:00,70.54607583333329,27.76666666666667,27.54983333333334,6,1,172,21,7,,,,
11,687.0,2022-06-21 08:00:00,66.61911596638656,38.63025210084034,28.61361344537814,6,1,172,21,8,,,,
12,688.0,2022-06-21 09:00:00,61.33482396694212,25.22314049586777,30.32603305785122,6,1,172,21,9,,,,
13,689.0,2022-06-21 10:00:00,57.01843389830508,6.254237288135593,31.84500000000001,6,1,172,21,10,,,,
14,690.0,2022-06-21 11:00:00,49.34727478991594,2.747899159663866,34.15588235294116,6,1,172,21,11,,,,
15,691.0,2022-06-21 12:00:00,48.23589747899159,2.966386554621849,34.80512605042017,6,1,172,21,12,,,,
