,timestamp,humidity,pm_2_5,temperature,month,dayofweek,weekofyear,day,hour,pm_2_5_lag_12day,PM2.5_MA3_prev_12day,PM2.5_MAX24_prev_12day,PM2.5_MIN24_prev_12day
2651,2023-08-09 13:00:00,80.73299989381034,5.15,27.92012402125828,8,2,221,9,13,5.372881355932203,14.059954835692022,61.18333333333333,1.0
2652,2023-08-09 14:00:00,80.73299989381034,2.8,27.92012402125828,8,2,221,9,14,6.033898305084746,14.03500612033017,61.18333333333333,1.0
2653,2023-08-09 15:00:00,80.73299989381034,2.766666666666667,27.92012402125828,8,2,221,9,15,6.88135593220339,14.034156981239505,61.18333333333333,1.0
2654,2023-08-09 16:00:00,80.73299989381034,3.7,27.92012402125828,8,2,221,9,16,13.36666666666667,14.053055790763315,61.18333333333333,1.0
2655,2023-08-09 17:00:00,80.73299989381034,2.766666666666667,27.92012402125828,8,2,221,9,17,12.23333333333333,14.0716073780649,61.18333333333333,1.0
2656,2023-08-09 18:00:00,80.73299989381034,4.616666666666666,27.92012402125828,8,2,221,9,18,27.5,14.135542327044494,61.18333333333333,1.0
2657,2023-08-09 19:00:00,80.73299989381034,3.383333333333333,27.92012402125828,8,2,221,9,19,28.85,14.195909390536558,61.18333333333333,1.0
2658,2023-08-09 20:00:00,80.73299989381034,4.5,27.92012402125828,8,2,221,9,20,29.4,14.273935184187351,61.18333333333333,1.0
2659,2023-08-09 21:00:00,80.73299989381034,7.75,27.92012402125828,8,2,221,9,21,27.18333333333333,14.295661374663542,61.18333333333333,1.0
2660,2023-08-09 22:00:00,80.73299989381034,7.033333333333333,27.92012402125828,8,2,221,9,22,19.73333333333333,14.292337961965128,61.18333333333333,1.0
2661,2023-08-09 23:00:00,80.73299989381034,7.416666666666667,27.92012402125828,8,2,221,9,23,32.48333333333333,14.322695104822273,61.18333333333333,1.0
2662,2023-08-10 00:00:00,80.73299989381034,9.316666666666666,27.92012402125828,8,3,222,10,0,36.63333333333333,14.397313943585848,61.18333333333333,1.0
