,timestamp,humidity,pm_2_5,temperature,month,dayofweek,weekofyear,day,hour,pm_2_5_lag_12day,PM2.5_MA3_prev_12day,PM2.5_MAX24_prev_12day,PM2.5_MIN24_prev_12day
671,2022-09-09 12:00:00,64.21251153846154,4.807692307692307,37.18068076923078,9,4,252,9,12,2.830508474576271,6.922415157037155,34.87931034482759,0.78
672,2022-09-09 13:00:00,61.75271739130435,4.565217391304348,38.97391304347826,9,4,252,9,13,2.983050847457627,6.904011538527604,34.87931034482759,0.78
673,2022-09-09 14:00:00,60.91952777777777,4.666666666666667,38.56622777777778,9,4,252,9,14,1.135593220338983,6.876808357430502,34.87931034482759,0.78
674,2022-09-09 15:00:00,63.64316756756758,4.027027027027027,33.53290270270269,9,4,252,9,15,1.24,6.84175424487639,34.87931034482759,0.78
675,2022-09-09 16:00:00,65.44785581395348,6.581395348837209,32.05821395348838,9,4,252,9,16,1.12,6.809773933521078,34.87931034482759,0.78
676,2022-09-09 17:00:00,66.7684320754717,5.584905660377358,31.80480943396227,9,4,252,9,17,1.827586206896552,6.7741208640658295,34.87931034482759,0.78
677,2022-09-09 18:00:00,67.40814042553191,5.829787234042553,31.35697872340425,9,4,252,9,18,2.692307692307693,6.732308150916912,34.87931034482759,0.78
678,2022-09-09 19:00:00,69.23635263157897,1.5,29.46202105263157,9,4,252,9,19,17.06666666666667,6.724694063615324,34.87931034482759,0.78
679,2022-09-09 20:00:00,69.28687199999999,1.0,28.593828,9,4,252,9,20,22.79661016949153,6.7025609589610315,34.87931034482759,0.78
680,2022-09-09 21:00:00,69.5069381818182,1.163636363636364,28.39630363636364,9,4,252,9,21,13.91666666666667,6.6632119578663405,34.87931034482759,0.78
681,2022-09-09 22:00:00,69.74708787878785,1.454545454545455,28.60075757575758,9,4,252,9,22,4.660377358490566,6.612846017465024,34.87931034482759,0.78
682,2022-09-09 23:00:00,70.28022857142857,1.714285714285714,28.29154285714285,9,4,252,9,23,9.766666666666667,6.615673398417404,34.87931034482759,0.78
683,2022-09-10 00:00:00,70.033444,3.28,28.57006,9,5,253,10,0,9.3,6.621902872965845,34.87931034482759,0.78
684,2022-09-10 01:00:00,70.59876,3.6,28.46533,9,5,253,10,1,10.0,6.6297897777277495,34.87931034482759,0.78
685,2022-09-10 11:00:00,66.1854090909091,4.363636363636363,36.69234999999999,9,5,253,10,11,13.20833333333333,6.644264497213245,34.87931034482759,0.78
686,2022-09-10 12:00:00,64.26937027027027,3.27027027027027,37.5947027027027,9,5,253,10,12,10.42857142857143,6.644795959798278,34.87931034482759,0.78
687,2022-09-10 13:00:00,61.35693437499999,3.75,38.716221875,9,5,253,10,13,12.5,6.655366567351644,34.87931034482759,0.78
688,2022-09-10 14:00:00,59.67174117647058,5.647058823529412,39.59665,9,5,253,10,14,13.44827586206897,6.66215707090939,34.87931034482759,0.78
689,2022-09-10 15:00:00,59.00148478260869,6.0,39.65435217391303,9,5,253,10,15,7.357142857142857,6.6538449960794575,34.87931034482759,0.78
690,2022-09-10 16:00:00,57.58756470588233,4.529411764705882,40.38571764705882,9,5,253,10,16,5.433333333333334,6.624910951197137,34.87931034482759,0.78
691,2022-09-10 17:00:00,57.39431818181818,4.818181818181818,39.67713030303032,9,5,253,10,17,7.571428571428571,6.621195940602735,34.87931034482759,0.78
692,2022-09-10 18:00:00,59.46578499999998,6.075,35.72159250000001,9,5,253,10,18,9.904761904761905,6.636819718849667,34.87931034482759,0.78
693,2022-09-10 19:00:00,61.53281923076921,29.94230769230769,33.23040576923077,9,5,253,10,19,5.333333333333333,6.639814987469935,34.87931034482759,0.78
694,2022-09-10 20:00:00,62.63508444444444,17.53333333333333,32.64069111111111,9,5,253,10,20,4.879310344827586,6.645590388763457,34.87931034482759,0.78
695,2022-09-10 21:00:00,63.28195769230769,7.961538461538462,32.34746538461538,9,5,253,10,21,4.947368421052632,6.648461251264538,34.87931034482759,0.78
696,2022-09-10 22:00:00,64.88036415094341,10.79245283018868,30.39185660377358,9,5,253,10,22,5.307692307692307,6.649787511211487,34.87931034482759,0.78
697,2022-09-10 23:00:00,65.56150576923075,9.903846153846153,30.34589423076924,9,5,253,10,23,5.135593220338983,6.647214871986305,34.87931034482759,0.78
698,2022-09-11 00:00:00,66.28940243902439,12.04878048780488,30.02325609756098,9,6,254,11,0,5.542372881355933,6.643747776177333,34.87931034482759,0.78
699,2022-09-11 01:00:00,66.62613076923077,10.33333333333333,30.03570000000001,9,6,254,11,1,4.152542372881356,6.632973416356363,34.87931034482759,0.78
700,2022-09-11 02:00:00,67.12628529411765,9.0,29.67097647058825,9,6,254,11,2,5.661016949152542,6.625586987208432,34.87931034482759,0.78
701,2022-09-11 03:00:00,67.176024,10.08,29.81279200000001,9,6,254,11,3,6.191489361702128,6.624349923233907,34.87931034482759,0.78
702,2022-09-11 04:00:00,67.70689032258066,10.41935483870968,29.69027096774194,9,6,254,11,4,8.527272727272727,6.600068847167116,34.87931034482759,0.78
703,2022-09-11 05:00:00,68.19957045454548,8.659090909090908,29.54712045454546,9,6,254,11,5,19.0377358490566,6.620358718792134,34.87931034482759,0.78
704,2022-09-11 06:00:00,68.46196666666665,10.61904761904762,29.46214285714286,9,6,254,11,6,13.82758620689655,6.591125344407898,34.87931034482759,0.78
705,2022-09-11 07:00:00,68.23191923076921,11.07692307692308,29.51832692307693,9,6,254,11,7,8.898305084745763,6.590092671984915,34.87931034482759,0.78
706,2022-09-11 08:00:00,68.69914,14.33333333333333,29.63624666666666,9,6,254,11,8,5.941176470588236,6.591627328400672,34.87931034482759,0.78
