,humidity,pm_2_5,temperature,month,dayofweek,weekofyear,day,hour,pm_2_5_lag_12day,PM2.5_MA3_prev_12day,PM2.5_MAX24_prev_12day,PM2.5_MIN24_prev_12day
671,55.62476666666668,3.228070175438596,23.6951596491228,8,5,239,27,11,2.733333333333333,9.662040451188831,133.6379310344828,0.01694915254237288
672,69.78494166666665,2.916666666666667,32.44916166666668,8,5,239,27,12,2.745762711864407,9.662027840212238,133.6379310344828,0.01694915254237288
673,65.87254915254239,4.559322033898305,32.84790338983051,8,5,239,27,13,3.254237288135593,9.660249225439273,133.6379310344828,0.01694915254237288
674,63.39187,4.175,32.42340999999999,8,5,239,27,14,4.620689655172414,9.661947706555857,133.6379310344828,0.01694915254237288
675,63.38886333333333,5.366666666666666,32.47116333333333,8,5,239,27,15,5.701754385964913,9.675643404133135,133.6379310344828,0.01694915254237288
676,59.01021333333332,4.566666666666666,32.52453666666666,8,5,239,27,16,6.847457627118644,9.673957881882151,133.6379310344828,0.01694915254237288
677,66.36189777777777,5.133333333333334,32.47328,8,5,239,27,17,5.733333333333333,9.68301644783727,133.6379310344828,0.01694915254237288
678,70.31300333333333,3.866666666666667,31.57049666666667,8,5,239,27,18,5.627118644067797,9.691964153161363,133.6379310344828,0.01694915254237288
679,58.90372142857143,2.392857142857143,26.44013035714285,8,5,239,27,19,11.27118644067797,9.717076811218936,133.6379310344828,0.01694915254237288
680,58.65560333333335,6.716666666666667,22.78405833333333,8,5,239,27,20,12.06666666666667,9.74336649375862,133.6379310344828,0.01694915254237288
681,62.57695535714286,5.071428571428571,22.00987321428571,8,5,239,27,21,9.322033898305085,9.756761152469561,133.6379310344828,0.01694915254237288
682,64.99222459016394,6.901639344262295,23.86637540983606,8,5,239,27,22,10.77586206896552,9.769387726087514,133.6379310344828,0.01694915254237288
683,68.1033275862069,4.913793103448276,27.40038793103448,8,5,239,27,23,6.133333333333334,9.764858443109956,133.6379310344828,0.01694915254237288
684,68.60065166666666,5.916666666666667,27.46160666666665,8,6,240,28,0,4.271186440677966,9.749758320653024,133.6379310344828,0.01694915254237288
685,68.56550701754387,4.508771929824562,27.27700175438597,8,6,240,28,1,6.152542372881356,9.748262397912216,133.6379310344828,0.01694915254237288
686,68.81703934426231,3.983606557377049,26.2160049180328,8,6,240,28,2,6.517241379310345,9.74054254751995,133.6379310344828,0.01694915254237288
687,70.11697931034486,4.086206896551724,25.30115172413794,8,6,240,28,3,7.322033898305085,9.736937489677606,133.6379310344828,0.01694915254237288
688,70.64595333333332,3.816666666666667,24.757095,8,6,240,28,4,8.7,9.733266854756971,133.6379310344828,0.01694915254237288
689,69.11235087719295,3.175438596491228,24.60047017543859,8,6,240,28,5,7.5,9.724902733246298,133.6379310344828,0.01694915254237288
690,69.168237704918,3.786885245901639,24.68343770491802,8,6,240,28,6,7.533333333333333,9.723117018960583,133.6379310344828,0.01694915254237288
691,68.81692068965526,5.068965517241379,24.81272241379309,8,6,240,28,7,8.879310344827585,9.728610998161459,133.6379310344828,0.01694915254237288
692,69.55308070175437,6.0,25.74713859649123,8,6,240,28,8,12.61666666666667,9.73896437801915,133.6379310344828,0.01694915254237288
693,65.7841068965517,3.086206896551724,27.37330517241379,8,6,240,28,9,8.472727272727273,9.75473912051803,133.6379310344828,0.01694915254237288
694,54.22684237288135,1.0,22.38655932203389,8,6,240,28,10,7.107142857142857,9.766244369169213,133.6379310344828,0.01694915254237288
695,66.6072448275862,0.6896551724137931,28.61045172413793,8,6,240,28,11,8.6,9.78291103583588,133.6379310344828,0.01694915254237288
696,64.09621311475412,0.8524590163934426,32.79867704918033,8,6,240,28,12,7.193548387096774,9.772475167940335,133.6379310344828,0.01694915254237288
697,63.36185689655173,0.9827586206896551,32.94523793103449,8,6,240,28,13,7.423728813559322,9.787849168825543,133.6379310344828,0.01694915254237288
698,62.98755813953488,1.604651162790698,32.51468139534884,8,6,240,28,14,7.762711864406779,9.704603271596596,133.6379310344828,0.01694915254237288
699,57.65359655172413,1.517241379310345,34.10338275862069,8,6,240,28,15,7.192982456140351,9.715098259065268,133.6379310344828,0.01694915254237288
700,57.05273448275862,1.275862068965517,33.61582413793103,8,6,240,28,16,39.41666666666666,9.819314528906538,133.6379310344828,0.01694915254237288
701,62.14692826086957,1.456521739130435,31.7270847826087,8,6,240,28,17,9.3,9.831701638922958,133.6379310344828,0.01694915254237288
702,59.677124137931,1.379310344827586,23.32468103448275,8,6,240,28,18,15.71186440677966,9.858245570347076,133.6379310344828,0.01694915254237288
703,63.8860033333333,5.0,22.26054166666667,8,6,240,28,19,16.94827586206896,9.899039905322446,133.6379310344828,0.01694915254237288
704,66.57756724137934,3.310344827586207,21.96128965517241,8,6,240,28,20,17.01666666666667,9.936787921195462,133.6379310344828,0.01694915254237288
705,64.03338032786881,2.819672131147541,25.4161213114754,8,6,240,28,21,13.59322033898305,9.96236298172815,133.6379310344828,0.01694915254237288
706,66.01363965517241,0.8448275862068966,27.16094137931035,8,6,240,28,22,12.9,9.988454251569419,133.6379310344828,0.01694915254237288
707,67.1089783333333,1.116666666666667,27.31473499999999,8,6,240,28,23,11.51724137931035,10.01072778742054,133.6379310344828,0.01694915254237288
708,67.49119999999998,1.137931034482759,27.27555,8,0,241,29,0,11.31481481481481,10.031677051545092,133.6379310344828,0.01694915254237288
709,66.16719833333333,1.283333333333333,27.08409666666666,8,0,241,29,1,15.51724137931035,10.062978365173993,133.6379310344828,0.01694915254237288
